sample,utc,unix_nanos,elapsed_s,rss_kib,hwm_kib,threads,fds,proc_ticks,host_ticks,stats_http,listen_overflows,listen_drops,tcp_abort_on_close,tcp_retrans
187,2026-07-30T11:41:52Z,1785411712374661284,194,11948,12012,17,201,35849,324106829,200,196,196,448255600,353856
188,2026-07-30T11:41:53Z,1785411713410456788,195,11948,12012,17,201,36055,324107597,200,196,196,448255600,353856
189,2026-07-30T11:41:54Z,1785411714447667620,196,11948,11948,17,201,36258,324108368,200,196,196,448255600,353856
190,2026-07-30T11:41:55Z,1785411715482623588,197,11948,12012,17,201,36462,324109141,200,196,196,448255600,353856
191,2026-07-30T11:41:56Z,1785411716516939479,198,11948,11956,17,201,36665,324109909,200,196,196,448255600,353856
192,2026-07-30T11:41:57Z,1785411717550054817,199,11968,11956,17,201,36869,324110681,200,196,196,448255600,353856
193,2026-07-30T11:41:58Z,1785411718585915350,200,11948,11956,17,201,37072,324111460,200,196,196,448255600,353856
194,2026-07-30T11:41:59Z,1785411719618027918,201,11948,11956,17,201,37271,324112225,200,196,196,448255600,353856
195,2026-07-30T11:42:00Z,1785411720655427671,202,11948,11956,17,201,37476,324112998,200,196,196,448255600,353856
196,2026-07-30T11:42:01Z,1785411721692154989,203,11948,11956,17,201,37682,324113770,200,196,196,448255600,353856
197,2026-07-30T11:42:02Z,1785411722726225179,204,11948,11956,17,201,37889,324114546,200,196,196,448255600,353856
198,2026-07-30T11:42:03Z,1785411723760546632,205,11948,11956,17,201,38094,324115312,200,196,196,448255600,353856
199,2026-07-30T11:42:04Z,1785411724795318617,206,11948,11956,17,201,38289,324116080,200,196,196,448255600,353856
200,2026-07-30T11:42:05Z,1785411725830534556,207,11948,11956,17,201,38488,324116851,200,196,196,448255600,353856
201,2026-07-30T11:42:06Z,1785411726866535213,208,11948,12012,17,201,38689,324117627,200,196,196,448255600,353856
202,2026-07-30T11:42:07Z,1785411727901799552,209,11976,11964,17,201,38891,324118402,200,196,196,448255600,353859
203,2026-07-30T11:42:08Z,1785411728935463155,210,11964,11972,17,201,39098,324119172,200,196,196,448255600,353859
204,2026-07-30T11:42:09Z,1785411729970945847,211,11964,11964,17,201,39303,324119943,200,196,196,448255600,353859
205,2026-07-30T11:42:11Z,1785411731006353640,213,11964,11964,17,201,39506,324120718,200,196,196,448255600,353859
206,2026-07-30T11:42:12Z,1785411732040504343,214,11912,11956,17,193,39712,324121488,200,196,196,448255600,353859
207,2026-07-30T11:42:13Z,1785411733074911229,215,11912,11956,17,193,39908,324122257,200,196,196,448255600,353859
208,2026-07-30T11:42:14Z,1785411734110282875,216,11912,11956,17,193,40114,324123031,200,196,196,448255600,353859
209,2026-07-30T11:42:15Z,1785411735145326471,217,11788,11956,17,167,40319,324123805,200,196,196,448255600,353859
210,2026-07-30T11:42:16Z,1785411736180989846,218,11792,11956,17,167,40525,324124578,200,196,196,448255600,353859
211,2026-07-30T11:42:17Z,1785411737215627622,219,11788,11956,17,167,40729,324125352,200,196,196,448255600,353859
212,2026-07-30T11:42:18Z,1785411738250119768,220,11788,11956,17,167,40914,324126122,200,196,196,448255600,353859
213,2026-07-30T11:42:19Z,1785411739284044572,221,11788,11956,17,167,41108,324126886,200,196,196,448255600,353859
214,2026-07-30T11:42:20Z,1785411740318813998,222,11788,11956,17,167,41310,324127660,200,196,196,448255600,353859
215,2026-07-30T11:42:21Z,1785411741353583155,223,11788,11956,17,167,41512,324128438,200,196,196,448255600,353859
216,2026-07-30T11:42:22Z,1785411742387524172,224,11788,11956,17,167,41716,324129209,200,196,196,448255600,353859
217,2026-07-30T11:42:23Z,1785411743424349349,225,11796,11956,17,167,41914,324129985,200,196,196,448255600,353859
218,2026-07-30T11:42:24Z,1785411744459738863,226,11816,11956,17,167,42120,324130762,200,196,196,448255600,353859
219,2026-07-30T11:42:25Z,1785411745493351616,227,11832,11956,17,168,42323,324131533,200,196,196,448255600,353859
220,2026-07-30T11:42:26Z,1785411746528150550,228,11792,11956,17,168,42526,324132312,200,196,196,448255600,353859
221,2026-07-30T11:42:27Z,1785411747562465246,229,11856,11956,17,168,42726,324133084,200,196,196,448255600,353859
222,2026-07-30T11:42:28Z,1785411748597034271,230,11812,11956,17,168,42907,324133857,200,196,196,448255600,353859
223,2026-07-30T11:42:29Z,1785411749631572776,231,11868,11956,17,168,43110,324134625,200,196,196,448255600,353859
224,2026-07-30T11:42:30Z,1785411750665880235,232,12016,12016,17,207,43301,324135405,200,196,196,448255600,353868
225,2026-07-30T11:42:31Z,1785411751701620742,233,12016,12020,17,207,43495,324136177,200,196,196,448255600,353875
226,2026-07-30T11:42:32Z,1785411752735750506,234,12076,12016,17,207,43694,324136952,200,196,196,448255600,353882
227,2026-07-30T11:42:33Z,1785411753769019868,235,12016,12068,17,207,43883,324137726,200,196,196,448255600,353895
228,2026-07-30T11:42:34Z,1785411754802876221,236,12016,12016,17,207,44069,324138501,200,196,196,448255600,353905
229,2026-07-30T11:42:35Z,1785411755837124206,237,12016,12016,17,207,44260,324139271,200,196,196,448255600,353916
230,2026-07-30T11:42:36Z,1785411756870272478,238,12016,12020,17,207,44450,324140041,200,196,196,448255600,353930
231,2026-07-30T11:42:37Z,1785411757904637641,239,12016,12016,17,207,44650,324140820,200,196,196,448255600,353943
232,2026-07-30T11:42:38Z,1785411758939428764,240,12016,12016,17,207,44843,324141596,200,196,196,448255600,353949
233,2026-07-30T11:42:39Z,1785411759973371866,241,12016,12016,17,207,45035,324142373,200,196,196,448255600,353960
234,2026-07-30T11:42:41Z,1785411761007423451,243,12016,12016,17,207,45227,324143140,200,196,196,448255600,353976
235,2026-07-30T11:42:42Z,1785411762040766734,244,12016,12048,17,207,45421,324143918,200,196,196,448255600,353982
236,2026-07-30T11:42:43Z,1785411763074637849,245,12016,12016,17,207,45613,324144689,200,196,196,448255600,353984
237,2026-07-30T11:42:44Z,1785411764107584919,246,12016,12064,17,207,45800,324145462,200,196,196,448255600,353985
238,2026-07-30T11:42:45Z,1785411765142497205,247,12016,12016,17,207,45994,324146234,200,196,196,448255600,353986
239,2026-07-30T11:42:46Z,1785411766178458520,248,12064,12016,17,207,46186,324147009,200,196,196,448255600,353989
240,2026-07-30T11:42:47Z,1785411767213719666,249,12020,12016,17,207,46379,324147782,200,196,196,448255600,353998
241,2026-07-30T11:42:48Z,1785411768247711248,250,12016,12016,17,207,46570,324148556,200,196,196,448255600,354004
242,2026-07-30T11:42:49Z,1785411769282382112,251,12016,12016,17,207,46759,324149325,200,196,196,448255600,354013
243,2026-07-30T11:42:50Z,1785411770318107749,252,12016,12016,17,207,46949,324150097,200,196,196,448255600,354021
244,2026-07-30T11:42:51Z,1785411771351370254,253,12016,12016,17,207,47142,324150868,200,196,196,448255600,354033
245,2026-07-30T11:42:52Z,1785411772384442047,254,12080,12016,17,207,47344,324151649,200,196,196,448255600,354039
246,2026-07-30T11:42:53Z,1785411773418458515,255,12024,12024,17,207,47543,324152424,200,196,196,448255600,354050
247,2026-07-30T11:42:54Z,1785411774451096992,256,12032,12032,17,207,47747,324153196,200,196,196,448255600,354057
248,2026-07-30T11:42:55Z,1785411775485508105,257,12048,11984,17,205,47949,324153967,200,196,196,448255600,354066
