sample,utc,unix_nanos,elapsed_s,rss_kib,hwm_kib,threads,fds,proc_ticks,host_ticks,stats_http,listen_overflows,listen_drops,tcp_abort_on_close,tcp_retrans
489,2026-07-30T11:30:52Z,1785411052484033056,505,6420,6896,5,107,85970,323608881,200,196,196,448255598,353820
490,2026-07-30T11:30:53Z,1785411053516704528,506,6420,6896,5,107,86161,323609653,200,196,196,448255598,353820
491,2026-07-30T11:30:54Z,1785411054548465279,507,6420,6896,5,107,86351,323610426,200,196,196,448255598,353820
492,2026-07-30T11:30:55Z,1785411055581846795,508,6652,6896,5,162,86542,323611201,200,196,196,448255598,353820
493,2026-07-30T11:30:56Z,1785411056614280954,509,6640,6896,5,162,86729,323611970,200,196,196,448255598,353820
494,2026-07-30T11:30:57Z,1785411057647375370,510,6672,6896,5,162,86918,323612743,200,196,196,448255598,353820
495,2026-07-30T11:30:58Z,1785411058679754422,511,6768,6896,5,162,87105,323613527,200,196,196,448255598,353820
496,2026-07-30T11:30:59Z,1785411059713209831,512,6640,6896,5,162,87294,323614306,200,196,196,448255598,353820
497,2026-07-30T11:31:00Z,1785411060745783648,513,6640,6896,5,162,87481,323615089,200,196,196,448255598,353820
498,2026-07-30T11:31:01Z,1785411061779761761,514,6648,6896,5,162,87670,323615871,200,196,196,448255598,353820
499,2026-07-30T11:31:02Z,1785411062813052259,515,6632,6896,5,160,87861,323616647,200,196,196,448255598,353820
500,2026-07-30T11:31:03Z,1785411063845549136,516,6632,6896,5,160,88049,323617425,200,196,196,448255598,353820
501,2026-07-30T11:31:04Z,1785411064875841445,517,6632,6896,5,160,88238,323618197,200,196,196,448255598,353820
502,2026-07-30T11:31:05Z,1785411065909213787,518,6632,6896,5,160,88429,323618969,200,196,196,448255598,353820
503,2026-07-30T11:31:06Z,1785411066941597119,519,6696,6896,5,160,88620,323619737,200,196,196,448255598,353820
504,2026-07-30T11:31:07Z,1785411067976367152,520,6632,6896,5,160,88811,323620518,200,196,196,448255598,353820
505,2026-07-30T11:31:09Z,1785411069010614819,522,6680,6896,5,160,89002,323621290,200,196,196,448255598,353820
506,2026-07-30T11:31:10Z,1785411070043456252,523,6696,6896,5,160,89192,323622066,200,196,196,448255598,353820
507,2026-07-30T11:31:11Z,1785411071076357341,524,6632,6896,5,160,89381,323622846,200,196,196,448255598,353820
508,2026-07-30T11:31:12Z,1785411072108865869,525,6696,6896,5,160,89572,323623612,200,196,196,448255598,353820
509,2026-07-30T11:31:13Z,1785411073141667677,526,6632,6896,5,160,89762,323624375,200,196,196,448255598,353820
510,2026-07-30T11:31:14Z,1785411074174181437,527,6632,6896,5,160,89951,323625149,200,196,196,448255598,353820
511,2026-07-30T11:31:15Z,1785411075205970814,528,6656,6896,5,160,90138,323625919,200,196,196,448255598,353820
512,2026-07-30T11:31:16Z,1785411076240032909,529,6636,6896,5,160,90326,323626685,200,196,196,448255598,353820
513,2026-07-30T11:31:17Z,1785411077273734485,530,6664,6896,5,160,90508,323627454,200,196,196,448255598,353820
514,2026-07-30T11:31:18Z,1785411078306134230,531,6652,6896,5,165,90693,323628227,200,196,196,448255598,353820
515,2026-07-30T11:31:19Z,1785411079337815628,532,6652,6896,5,165,90872,323629012,200,196,196,448255598,353820
516,2026-07-30T11:31:20Z,1785411080369375764,533,6652,6896,5,165,91058,323629792,200,196,196,448255598,353820
517,2026-07-30T11:31:21Z,1785411081403048129,534,6652,6896,5,165,91246,323630573,200,196,196,448255598,353820
518,2026-07-30T11:31:22Z,1785411082436217379,535,6660,6896,5,165,91439,323631346,200,196,196,448255598,353820
519,2026-07-30T11:31:23Z,1785411083470330735,536,6652,6896,5,165,91618,323632122,200,196,196,448255598,353820
520,2026-07-30T11:31:24Z,1785411084502180502,537,6652,6896,5,165,91795,323632906,200,196,196,448255598,353820
521,2026-07-30T11:31:25Z,1785411085536773721,538,6644,6896,5,163,91970,323633685,200,196,196,448255598,353820
522,2026-07-30T11:31:26Z,1785411086568226805,539,6644,6896,5,163,92144,323634461,200,196,196,448255598,353820
523,2026-07-30T11:31:27Z,1785411087600168283,540,6644,6896,5,163,92324,323635234,200,196,196,448255598,353820
524,2026-07-30T11:31:28Z,1785411088631460333,541,6644,6896,5,163,92502,323636015,200,196,196,448255598,353820
525,2026-07-30T11:31:29Z,1785411089663992082,542,6644,6896,5,163,92683,323636792,200,196,196,448255598,353820
526,2026-07-30T11:31:30Z,1785411090697706813,543,6644,6896,5,163,92862,323637569,200,196,196,448255598,353820
527,2026-07-30T11:31:31Z,1785411091729585499,544,6676,6896,5,163,93040,323638344,200,196,196,448255598,353820
528,2026-07-30T11:31:32Z,1785411092761722684,545,6648,6896,5,164,93217,323639117,200,196,196,448255598,353820
529,2026-07-30T11:31:33Z,1785411093795620200,546,6648,6896,5,164,93392,323639897,200,196,196,448255598,353820
530,2026-07-30T11:31:34Z,1785411094828143279,547,6648,6896,5,164,93566,323640676,200,196,196,448255598,353820
531,2026-07-30T11:31:35Z,1785411095860253614,548,6648,6896,5,164,93740,323641452,200,196,196,448255598,353820
532,2026-07-30T11:31:36Z,1785411096892640316,549,6700,6896,5,164,93912,323642229,200,196,196,448255598,353820
533,2026-07-30T11:31:37Z,1785411097925688488,550,6648,6896,5,164,94089,323643004,200,196,196,448255598,353820
534,2026-07-30T11:31:38Z,1785411098957452955,551,6648,6896,5,164,94268,323643779,200,196,196,448255598,353820
535,2026-07-30T11:31:39Z,1785411099989908785,552,6648,6896,5,164,94443,323644549,200,196,196,448255598,353820
536,2026-07-30T11:31:41Z,1785411101022259062,554,6652,6896,5,165,94620,323645336,200,196,196,448255598,353820
537,2026-07-30T11:31:42Z,1785411102054676671,555,6652,6896,5,165,94793,323646110,200,196,196,448255598,353820
538,2026-07-30T11:31:43Z,1785411103086606561,556,6652,6896,5,165,94964,323646875,200,196,196,448255598,353820
539,2026-07-30T11:31:44Z,1785411104120088215,557,6652,6896,5,165,95134,323647642,200,196,196,448255598,353820
540,2026-07-30T11:31:45Z,1785411105152156594,558,6652,6896,5,165,95302,323648411,200,196,196,448255598,353820
541,2026-07-30T11:31:46Z,1785411106185517992,559,6652,6896,5,165,95469,323649171,200,196,196,448255598,353820
542,2026-07-30T11:31:47Z,1785411107218353361,560,6652,6896,5,165,95637,323649928,200,196,196,448255598,353820
543,2026-07-30T11:31:48Z,1785411108251487193,561,6652,6896,5,165,95802,323650688,200,196,196,448255598,353820
