sample,utc,unix_nanos,elapsed_s,rss_kib,hwm_kib,threads,fds,proc_ticks,host_ticks,stats_http,stats_curl_exit,stats_bytes,listen_overflows,listen_drops,tcp_abort_on_close,tcp_retrans
284,2026-08-04T05:01:25Z,1785819685870133287,285,4652,4652,4,18,1971,4601665,200,0,380,0,0,461,984
285,2026-08-04T05:01:26Z,1785819686875033662,286,4652,4652,4,18,1978,4602463,200,0,380,0,0,461,985
286,2026-08-04T05:01:27Z,1785819687878152868,287,4652,4652,4,18,1986,4603258,200,0,380,0,0,461,986
287,2026-08-04T05:01:28Z,1785819688882094650,288,4652,4652,4,18,1992,4604057,200,0,380,0,0,461,987
288,2026-08-04T05:01:29Z,1785819689886158315,289,4652,4652,4,18,2000,4604856,200,0,380,0,0,461,988
289,2026-08-04T05:01:30Z,1785819690890671607,290,4652,4652,4,18,2008,4605653,200,0,380,0,0,461,989
290,2026-08-04T05:01:31Z,1785819691894286916,291,4652,4652,4,18,2016,4606452,200,0,380,0,0,461,990
291,2026-08-04T05:01:32Z,1785819692897414054,292,4652,4652,4,18,2024,4607250,200,0,380,0,0,461,991
292,2026-08-04T05:01:33Z,1785819693901541274,293,4652,4652,4,18,2031,4608046,200,0,380,0,0,461,992
293,2026-08-04T05:01:34Z,1785819694904410612,294,4652,4652,4,18,2038,4608841,200,0,380,0,0,461,993
294,2026-08-04T05:01:35Z,1785819695908524445,295,4652,4652,4,18,2046,4609642,200,0,380,0,0,461,993
295,2026-08-04T05:01:36Z,1785819696912929837,296,4652,4652,4,18,2053,4610438,200,0,380,0,0,461,994
296,2026-08-04T05:01:37Z,1785819697915914506,297,4648,4648,4,17,2062,4611232,200,0,380,0,0,461,995
297,2026-08-04T05:01:38Z,1785819698920074870,298,4648,4648,4,17,2069,4612028,200,0,380,0,0,461,996
298,2026-08-04T05:01:39Z,1785819699925135515,299,4648,4648,4,17,2076,4612825,200,0,380,0,0,461,996
299,2026-08-04T05:01:40Z,1785819700928200849,300,4648,4648,4,17,2083,4613621,200,0,380,0,0,461,997
300,2026-08-04T05:01:41Z,1785819701931840452,301,4648,4648,4,17,2091,4614421,200,0,380,0,0,461,997
301,2026-08-04T05:01:42Z,1785819702936094537,302,4648,4648,4,17,2099,4615218,200,0,380,0,0,461,997
302,2026-08-04T05:01:43Z,1785819703939568862,303,4648,4648,4,17,2106,4616017,200,0,380,0,0,461,998
303,2026-08-04T05:01:44Z,1785819704943664427,304,4648,4648,4,17,2114,4616815,200,0,380,0,0,461,999
304,2026-08-04T05:01:45Z,1785819705947453612,305,4648,4648,4,17,2121,4617612,200,0,380,0,0,461,1000
305,2026-08-04T05:01:46Z,1785819706950764290,306,4648,4648,4,17,2129,4618406,200,0,380,0,0,461,1001
306,2026-08-04T05:01:47Z,1785819707955212299,307,4648,4648,4,17,2137,4619205,200,0,380,0,0,461,1001
307,2026-08-04T05:01:48Z,1785819708958609287,308,4648,4648,4,17,2145,4620006,200,0,380,0,0,461,1002
308,2026-08-04T05:01:49Z,1785819709962992445,309,4648,4648,4,17,2152,4620804,200,0,380,0,0,461,1003
309,2026-08-04T05:01:50Z,1785819710966890522,310,4648,4648,4,17,2159,4621601,200,0,380,0,0,461,1004
310,2026-08-04T05:01:51Z,1785819711970961512,311,4648,4648,4,17,2167,4622399,200,0,380,0,0,461,1005
311,2026-08-04T05:01:52Z,1785819712975001655,312,4648,4648,4,17,2174,4623199,200,0,380,0,0,461,1006
312,2026-08-04T05:01:53Z,1785819713979689132,313,4648,4648,4,17,2181,4623999,200,0,380,0,0,461,1007
313,2026-08-04T05:01:54Z,1785819714983164915,314,4648,4648,4,17,2189,4624796,200,0,380,0,0,461,1008
314,2026-08-04T05:01:55Z,1785819715986647294,315,4648,4648,4,17,2196,4625594,200,0,380,0,0,461,1009
315,2026-08-04T05:01:56Z,1785819716990784681,316,4648,4648,4,17,2204,4626393,200,0,380,0,0,461,1009
316,2026-08-04T05:01:57Z,1785819717994867902,317,4648,4648,4,17,2211,4627190,200,0,380,0,0,461,1010
317,2026-08-04T05:01:58Z,1785819718998871772,318,4648,4648,4,17,2218,4627987,200,0,380,0,0,461,1011
318,2026-08-04T05:02:00Z,1785819720004070149,320,4648,4648,4,17,2226,4628787,200,0,380,0,0,461,1012
319,2026-08-04T05:02:01Z,1785819721007502904,321,4648,4648,4,17,2234,4629585,200,0,380,0,0,461,1013
320,2026-08-04T05:02:02Z,1785819722012182120,322,4648,4648,4,17,2242,4630383,200,0,380,0,0,461,1014
321,2026-08-04T05:02:03Z,1785819723015807344,323,4648,4648,4,17,2250,4631179,200,0,380,0,0,461,1015
322,2026-08-04T05:02:04Z,1785819724019431943,324,4648,4648,4,17,2258,4631973,200,0,380,0,0,461,1016
323,2026-08-04T05:02:05Z,1785819725023330907,325,4648,4648,4,17,2266,4632771,200,0,380,0,0,461,1017
324,2026-08-04T05:02:06Z,1785819726026699469,326,4648,4648,4,17,2273,4633567,200,0,380,0,0,461,1018
325,2026-08-04T05:02:07Z,1785819727030026938,327,4648,4648,4,17,2280,4634366,200,0,380,0,0,461,1018
326,2026-08-04T05:02:08Z,1785819728034377788,328,4648,4648,4,17,2287,4635162,200,0,380,0,0,461,1019
327,2026-08-04T05:02:09Z,1785819729037491175,329,4648,4648,4,17,2295,4635958,200,0,380,0,0,461,1020
328,2026-08-04T05:02:10Z,1785819730041885559,330,4648,4648,4,17,2303,4636756,200,0,380,0,0,461,1021
329,2026-08-04T05:02:11Z,1785819731044763180,331,4648,4648,4,17,2310,4637553,200,0,380,0,0,461,1022
330,2026-08-04T05:02:12Z,1785819732049003091,332,4648,4648,4,17,2318,4638350,200,0,380,0,0,461,1022
331,2026-08-04T05:02:13Z,1785819733053141677,333,4648,4648,4,17,2326,4639145,200,0,380,0,0,461,1022
332,2026-08-04T05:02:14Z,1785819734056832317,334,4648,4648,4,17,2334,4639945,200,0,380,0,0,461,1023
333,2026-08-04T05:02:15Z,1785819735062436352,335,4648,4648,4,17,2341,4640740,200,0,380,0,0,461,1023
334,2026-08-04T05:02:16Z,1785819736065244362,336,4648,4648,4,17,2348,4641536,200,0,380,0,0,461,1024
335,2026-08-04T05:02:17Z,1785819737068764106,337,4648,4648,4,17,2356,4642333,200,0,380,0,0,461,1025
336,2026-08-04T05:02:18Z,1785819738072182623,338,4648,4648,4,17,2364,4643130,200,0,380,0,0,461,1025
337,2026-08-04T05:02:19Z,1785819739075766260,339,4648,4648,4,17,2371,4643926,200,0,380,0,0,461,1026
338,2026-08-04T05:02:20Z,1785819740079189692,340,4648,4648,4,17,2379,4644724,200,0,380,0,0,461,1027
339,2026-08-04T05:02:21Z,1785819741083497096,341,4648,4648,4,17,2386,4645523,200,0,380,0,0,461,1027
340,2026-08-04T05:02:22Z,1785819742087990981,342,4648,4648,4,17,2394,4646320,200,0,380,0,0,461,1028
341,2026-08-04T05:02:23Z,1785819743091942874,343,4648,4648,4,17,2401,4647116,200,0,380,0,0,461,1028
342,2026-08-04T05:02:24Z,1785819744095349603,344,4648,4648,4,17,2409,4647912,200,0,380,0,0,461,1029
343,2026-08-04T05:02:25Z,1785819745099535343,345,4648,4648,4,17,2416,4648708,200,0,380,0,0,461,1029
344,2026-08-04T05:02:26Z,1785819746103558370,346,4648,4648,4,17,2425,4649503,200,0,380,0,0,461,1029
345,2026-08-04T05:02:27Z,1785819747107585530,347,4648,4648,4,17,2432,4650298,200,0,380,0,0,461,1030
346,2026-08-04T05:02:28Z,1785819748111512712,348,4648,4648,4,17,2439,4651096,200,0,380,0,0,461,1031
347,2026-08-04T05:02:29Z,1785819749115964037,349,4648,4648,4,17,2447,4651894,200,0,380,0,0,461,1032
348,2026-08-04T05:02:30Z,1785819750119500697,350,4648,4648,4,17,2454,4652691,200,0,380,0,0,461,1032
349,2026-08-04T05:02:31Z,1785819751122779045,351,4648,4648,4,17,2462,4653488,200,0,380,0,0,461,1032
350,2026-08-04T05:02:32Z,1785819752126351625,352,4648,4648,4,17,2469,4654284,200,0,380,0,0,461,1033
351,2026-08-04T05:02:33Z,1785819753130133544,353,4648,4648,4,17,2477,4655080,200,0,380,0,0,461,1034
352,2026-08-04T05:02:34Z,1785819754133084035,354,4648,4648,4,17,2485,4655878,200,0,380,0,0,461,1035
353,2026-08-04T05:02:35Z,1785819755138003230,355,4648,4648,4,17,2492,4656676,200,0,380,0,0,461,1036
354,2026-08-04T05:02:36Z,1785819756141320281,356,4648,4648,4,17,2500,4657474,200,0,380,0,0,461,1037
355,2026-08-04T05:02:37Z,1785819757145410251,357,4648,4648,4,17,2507,4658271,200,0,380,0,0,461,1037
356,2026-08-04T05:02:38Z,1785819758149294513,358,4648,4648,4,17,2514,4659068,200,0,380,0,0,461,1037
357,2026-08-04T05:02:39Z,1785819759153076391,359,4648,4648,4,17,2522,4659863,200,0,380,0,0,461,1038
358,2026-08-04T05:02:40Z,1785819760157077640,360,4648,4648,4,17,2529,4660662,200,0,380,0,0,461,1038
359,2026-08-04T05:02:41Z,1785819761161279526,361,4648,4648,4,17,2536,4661461,200,0,380,0,0,461,1038
360,2026-08-04T05:02:42Z,1785819762164918685,362,4648,4648,4,17,2544,4662258,200,0,380,0,0,461,1039
361,2026-08-04T05:02:43Z,1785819763168063113,363,4648,4648,4,17,2551,4663057,200,0,380,0,0,461,1040
362,2026-08-04T05:02:44Z,1785819764172427938,364,4648,4648,4,17,2559,4663855,200,0,380,0,0,461,1041
363,2026-08-04T05:02:45Z,1785819765176333126,365,4648,4648,4,17,2567,4664655,200,0,380,0,0,461,1041
364,2026-08-04T05:02:46Z,1785819766180114560,366,4648,4648,4,17,2574,4665451,200,0,380,0,0,461,1042
365,2026-08-04T05:02:47Z,1785819767183262889,367,4648,4648,4,17,2582,4666249,200,0,380,0,0,461,1042
366,2026-08-04T05:02:48Z,1785819768187819286,368,4648,4648,4,17,2589,4667047,200,0,380,0,0,461,1042
367,2026-08-04T05:02:49Z,1785819769190856321,369,4648,4648,4,17,2597,4667842,200,0,380,0,0,461,1043
368,2026-08-04T05:02:50Z,1785819770194843163,370,4648,4648,4,17,2604,4668638,200,0,380,0,0,461,1044
369,2026-08-04T05:02:51Z,1785819771198832905,371,4648,4648,4,17,2611,4669436,200,0,380,0,0,461,1045
370,2026-08-04T05:02:52Z,1785819772203184452,372,4648,4648,4,17,2619,4670232,200,0,380,0,0,461,1046
371,2026-08-04T05:02:53Z,1785819773206142392,373,4648,4648,4,17,2626,4671028,200,0,380,0,0,461,1047
372,2026-08-04T05:02:54Z,1785819774210542775,374,4648,4648,4,17,2634,4671825,200,0,380,0,0,461,1048
373,2026-08-04T05:02:55Z,1785819775214066508,375,4648,4648,4,17,2641,4672624,200,0,380,0,0,461,1049
374,2026-08-04T05:02:56Z,1785819776218376143,376,4648,4648,4,17,2649,4673421,200,0,380,0,0,461,1050
375,2026-08-04T05:02:57Z,1785819777222227993,377,4648,4648,4,17,2656,4674221,200,0,380,0,0,461,1050
376,2026-08-04T05:02:58Z,1785819778225625626,378,4648,4648,4,17,2664,4675017,200,0,380,0,0,461,1051
377,2026-08-04T05:02:59Z,1785819779229191628,379,4648,4648,4,17,2672,4675814,200,0,380,0,0,461,1051
