sample,utc,unix_nanos,elapsed_s,rss_kib,hwm_kib,threads,fds,proc_ticks,host_ticks,stats_http,listen_overflows,listen_drops,tcp_abort_on_close,tcp_retrans
654,2026-07-30T12:06:05Z,1785413165662356464,675,6708,6808,5,162,115449,325205964,200,196,196,448255602,361064
655,2026-07-30T12:06:06Z,1785413166695297374,676,6708,6808,5,162,115625,325206750,200,196,196,448255602,361072
656,2026-07-30T12:06:07Z,1785413167727450787,677,6708,6808,5,162,115800,325207543,200,196,196,448255602,361087
657,2026-07-30T12:06:08Z,1785413168756684091,678,6708,6808,5,162,115974,325208332,200,196,196,448255602,361102
658,2026-07-30T12:06:09Z,1785413169789217735,679,6708,6808,5,162,116150,325209118,200,196,196,448255602,361112
659,2026-07-30T12:06:10Z,1785413170821485518,680,6708,6808,5,162,116331,325209904,200,196,196,448255602,361125
660,2026-07-30T12:06:11Z,1785413171853977592,681,6776,6808,5,163,116514,325210688,200,196,196,448255602,361127
661,2026-07-30T12:06:12Z,1785413172886790997,682,6732,6808,5,163,116699,325211466,200,196,196,448255602,361129
662,2026-07-30T12:06:13Z,1785413173920600307,683,6732,6808,5,163,116883,325212252,200,196,196,448255602,361129
663,2026-07-30T12:06:14Z,1785413174952541996,684,6732,6808,5,163,117071,325213041,200,196,196,448255602,361129
664,2026-07-30T12:06:15Z,1785413175985759161,685,6732,6808,5,163,117259,325213823,200,196,196,448255602,361129
665,2026-07-30T12:06:17Z,1785413177020843693,687,6732,6808,5,163,117447,325214607,200,196,196,448255602,361129
666,2026-07-30T12:06:18Z,1785413178053200096,688,6732,6808,5,163,117633,325215389,200,196,196,448255602,361129
667,2026-07-30T12:06:19Z,1785413179086450592,689,6732,6808,5,163,117816,325216174,200,196,196,448255602,361131
668,2026-07-30T12:06:20Z,1785413180117382253,690,6792,6808,5,163,117994,325216961,200,196,196,448255602,361135
669,2026-07-30T12:06:21Z,1785413181150626955,691,6732,6808,5,163,118172,325217746,200,196,196,448255602,361139
670,2026-07-30T12:06:22Z,1785413182182852381,692,6780,6808,5,170,118355,325218541,200,196,196,448255602,361143
671,2026-07-30T12:06:23Z,1785413183214737533,693,6780,6808,5,170,118536,325219331,200,196,196,448255602,361144
